ID,duration,wav,wav_format,wav_opts

speech-librivox-0000_0,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_0.wav,wav,
speech-librivox-0000_1,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_1.wav,wav,
speech-librivox-0000_2,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_2.wav,wav,
speech-librivox-0000_3,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_3.wav,wav,
speech-librivox-0000_4,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_4.wav,wav,
speech-librivox-0000_5,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_5.wav,wav,
speech-librivox-0000_6,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_6.wav,wav,
speech-librivox-0000_7,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_7.wav,wav,
speech-librivox-0000_8,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_8.wav,wav,
speech-librivox-0000_9,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_9.wav,wav,
speech-librivox-0000_10,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_10.wav,wav,
speech-librivox-0000_11,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_11.wav,wav,
speech-librivox-0000_12,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_12.wav,wav,
speech-librivox-0000_13,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_13.wav,wav,
speech-librivox-0000_14,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_14.wav,wav,
speech-librivox-0000_15,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_15.wav,wav,
speech-librivox-0000_16,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_16.wav,wav,
speech-librivox-0000_17,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_17.wav,wav,
speech-librivox-0000_18,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_18.wav,wav,
speech-librivox-0000_19,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_19.wav,wav,
speech-librivox-0000_20,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_20.wav,wav,
speech-librivox-0000_21,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_21.wav,wav,
speech-librivox-0000_22,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_22.wav,wav,
speech-librivox-0000_23,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_23.wav,wav,
speech-librivox-0000_24,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_24.wav,wav,
speech-librivox-0000_25,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_25.wav,wav,
speech-librivox-0000_26,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_26.wav,wav,
speech-librivox-0000_27,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_27.wav,wav,
speech-librivox-0000_28,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_28.wav,wav,
speech-librivox-0000_29,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_29.wav,wav,
speech-librivox-0000_30,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_30.wav,wav,
speech-librivox-0000_31,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_31.wav,wav,
speech-librivox-0000_32,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_32.wav,wav,
speech-librivox-0000_33,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_33.wav,wav,
speech-librivox-0000_34,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_34.wav,wav,
speech-librivox-0000_35,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_35.wav,wav,
speech-librivox-0000_36,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_36.wav,wav,
speech-librivox-0000_37,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_37.wav,wav,
speech-librivox-0000_38,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_38.wav,wav,
speech-librivox-0000_39,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_39.wav,wav,
speech-librivox-0000_40,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_40.wav,wav,
speech-librivox-0000_41,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_41.wav,wav,
speech-librivox-0000_42,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_42.wav,wav,
speech-librivox-0000_43,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_43.wav,wav,
speech-librivox-0000_44,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_44.wav,wav,
speech-librivox-0000_45,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_45.wav,wav,
speech-librivox-0000_46,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_46.wav,wav,
speech-librivox-0000_47,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_47.wav,wav,
speech-librivox-0000_48,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_48.wav,wav,
speech-librivox-0000_49,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_49.wav,wav,
speech-librivox-0000_50,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_50.wav,wav,
speech-librivox-0000_51,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_51.wav,wav,
speech-librivox-0000_52,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_52.wav,wav,
speech-librivox-0000_53,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_53.wav,wav,
speech-librivox-0000_54,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_54.wav,wav,
speech-librivox-0000_55,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_55.wav,wav,
speech-librivox-0000_56,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_56.wav,wav,
speech-librivox-0000_57,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_57.wav,wav,
speech-librivox-0000_58,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_58.wav,wav,
speech-librivox-0000_59,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_59.wav,wav,
speech-librivox-0000_60,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_60.wav,wav,
speech-librivox-0000_61,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_61.wav,wav,
speech-librivox-0000_62,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_62.wav,wav,
speech-librivox-0000_63,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_63.wav,wav,
speech-librivox-0000_64,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_64.wav,wav,
speech-librivox-0000_65,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_65.wav,wav,
speech-librivox-0000_66,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_66.wav,wav,
speech-librivox-0000_67,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_67.wav,wav,
speech-librivox-0000_68,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_68.wav,wav,
speech-librivox-0000_69,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_69.wav,wav,
speech-librivox-0000_70,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_70.wav,wav,
speech-librivox-0000_71,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_71.wav,wav,
speech-librivox-0000_72,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_72.wav,wav,
speech-librivox-0000_73,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_73.wav,wav,
speech-librivox-0000_74,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_74.wav,wav,
speech-librivox-0000_75,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_75.wav,wav,
speech-librivox-0000_76,5.0,/courses/CS6140.202630/students/cong.m/musan/speech/librivox/speech-librivox-0000_76.wav,wav,
