ID,duration,wav,wav_format,wav_opts
noise-free-sound-0000_0,17.65875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0000.wav,wav,
noise-free-sound-0001_1,40.5365,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0001.wav,wav,
noise-free-sound-0002_2,71.2175,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0002.wav,wav,
noise-free-sound-0003_3,14.2358125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0003.wav,wav,
noise-free-sound-0004_4,2.9865,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0004.wav,wav,
noise-free-sound-0005_5,21.1853125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0005.wav,wav,
noise-free-sound-0006_6,7.7701875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0006.wav,wav,
noise-free-sound-0007_7,16.613875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0007.wav,wav,
noise-free-sound-0008_8,20.8050625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0008.wav,wav,
noise-free-sound-0009_9,8.3866875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0009.wav,wav,
noise-free-sound-0010_10,8.2415625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0010.wav,wav,
noise-free-sound-0011_11,34.8501875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0011.wav,wav,
noise-free-sound-0012_12,32.15625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0012.wav,wav,
noise-free-sound-0013_13,1.5445,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0013.wav,wav,
noise-free-sound-0014_14,3.4159375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0014.wav,wav,
noise-free-sound-0015_15,91.244875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0015.wav,wav,
noise-free-sound-0016_16,4.0,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0016.wav,wav,
noise-free-sound-0017_17,7.8773125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0017.wav,wav,
