epoch: 1, lr: 1.00e+00 - train loss: 2.56e-01 - valid loss: 3.02e-01, valid summary: {'TP': 603285.0, 'TN': 261166.0, 'FP': 62755.0, 'FN': 38794.0, 'FAR': 0.193735509584121, 'FRR': 0.06041935649662954, 'DER': 0.11747224539042563, 'threshold': 0.5, 'precision': 0.9057789321962508, 'recall': 0.9395806435033549, 'F-score': 0.922370212495958, 'MCC': 0.7609929218834413}
epoch: 2, lr: 9.91e-01 - train loss: 1.86e-01 - valid loss: 2.88e-01, valid summary: {'TP': 608799.0, 'TN': 265764.0, 'FP': 58157.0, 'FN': 33280.0, 'FAR': 0.17954069047699348, 'FRR': 0.05183162819528357, 'DER': 0.10455164464995541, 'threshold': 0.5, 'precision': 0.9128023437827846, 'recall': 0.9481683718047008, 'F-score': 0.9301493084600488, 'MCC': 0.7848988048800761}
epoch: 3, lr: 9.82e-01 - train loss: 1.69e-01 - valid loss: 2.65e-01, valid summary: {'TP': 610368.0, 'TN': 270310.0, 'FP': 53611.0, 'FN': 31711.0, 'FAR': 0.16550640433932454, 'FRR': 0.049388003656870114, 'DER': 0.09688217486981511, 'threshold': 0.5, 'precision': 0.9192579885809503, 'recall': 0.9506119963431143, 'F-score': 0.9346721202274325, 'MCC': 0.7995508942988998}
epoch: 4, lr: 9.73e-01 - train loss: 1.59e-01 - valid loss: 2.79e-01, valid summary: {'TP': 617238.0, 'TN': 260850.0, 'FP': 63071.0, 'FN': 24841.0, 'FAR': 0.19471105609083095, 'FRR': 0.03868838569708651, 'DER': 0.10011752808374445, 'threshold': 0.5, 'precision': 0.9072906576276235, 'recall': 0.9613116143028979, 'F-score': 0.9335202678790189, 'MCC': 0.7930152309199577}
epoch: 5, lr: 9.64e-01 - train loss: 1.53e-01 - valid loss: 2.75e-01, valid summary: {'TP': 619392.0, 'TN': 257289.0, 'FP': 66632.0, 'FN': 22687.0, 'FAR': 0.2057044773262553, 'FRR': 0.03533365831930284, 'DER': 0.10188312510479751, 'threshold': 0.5, 'precision': 0.9028722027217575, 'recall': 0.9646663416806815, 'F-score': 0.9327469330315495, 'MCC': 0.789775546437218}
epoch: 6, lr: 9.55e-01 - train loss: 1.48e-01 - valid loss: 2.69e-01, valid summary: {'TP': 618644.0, 'TN': 261784.0, 'FP': 62137.0, 'FN': 23435.0, 'FAR': 0.19182763698555536, 'FRR': 0.03649862400109587, 'DER': 0.09719363763987404, 'threshold': 0.5, 'precision': 0.9087268886763745, 'recall': 0.9635013759988885, 'F-score': 0.935312882693558, 'MCC': 0.7986464517741891}
epoch: 7, lr: 9.45e-01 - train loss: 1.41e-01 - valid loss: 2.59e-01, valid summary: {'TP': 605526.0, 'TN': 278237.0, 'FP': 45684.0, 'FN': 36553.0, 'FAR': 0.14103438801435716, 'FRR': 0.056929131773503616, 'DER': 0.09305322807132577, 'threshold': 0.5, 'precision': 0.9298475146266039, 'recall': 0.9430708682264808, 'F-score': 0.9364125110474147, 'MCC': 0.8078615033094914}
epoch: 8, lr: 9.36e-01 - train loss: 1.38e-01 - valid loss: 2.55e-01, valid summary: {'TP': 611390.0, 'TN': 273834.0, 'FP': 50087.0, 'FN': 30689.0, 'FAR': 0.15462720848601497, 'FRR': 0.04779629920928659, 'DER': 0.09124922053627002, 'threshold': 0.5, 'precision': 0.9242800581123618, 'recall': 0.9522037007906978, 'F-score': 0.9380341159106321, 'MCC': 0.8104359667613829}
epoch: 9, lr: 9.27e-01 - train loss: 1.35e-01 - valid loss: 2.42e-01, valid summary: {'TP': 607250.0, 'TN': 281512.0, 'FP': 42409.0, 'FN': 34829.0, 'FAR': 0.13092389811095512, 'FRR': 0.054244103918675825, 'DER': 0.08690515571097676, 'threshold': 0.5, 'precision': 0.9347211383202428, 'recall': 0.9457558960813086, 'F-score': 0.9402061408737685, 'MCC': 0.8197121817316481}
epoch: 10, lr: 9.18e-01 - train loss: 1.31e-01 - valid loss: 2.46e-01, valid summary: {'TP': 612042.0, 'TN': 276741.0, 'FP': 47180.0, 'FN': 30037.0, 'FAR': 0.14565279805878142, 'FRR': 0.04678084783959533, 'DER': 0.08687947451740091, 'threshold': 0.5, 'precision': 0.9284307865938799, 'recall': 0.9532191521603891, 'F-score': 0.9406616916455147, 'MCC': 0.8189625633198881}
epoch: 11, lr: 9.09e-01 - train loss: 1.28e-01 - valid loss: 2.46e-01, valid summary: {'TP': 613413.0, 'TN': 276445.0, 'FP': 47476.0, 'FN': 28666.0, 'FAR': 0.1465666011156996, 'FRR': 0.044645596569891796, 'DER': 0.08556646116571312, 'threshold': 0.5, 'precision': 0.9281634283517969, 'recall': 0.9553544034300926, 'F-score': 0.9415626477396222, 'MCC': 0.8214009177096533}
